,Accuracy:,MCC Score:,F1 Score:,AUC VALUE:,kappa Score:,Precision:,Recall:
GraphConv Train,0.9974937343358395,0.9949999686712862,0.9974999999999999,0.9996011331587114,0.9949874686716792,0.9950124688279302,1.0
GraphConv Test,0.9900990099009901,0.0,0.0,0.62,0.0,0.0,0.0
AttentiveFP Train,0.9974937343358395,0.9949999686712862,0.9974999999999999,0.9987468671679198,0.9949874686716792,0.9950124688279302,1.0
AttentiveFP Test,0.9900990099009901,0.0,0.0,0.81,0.0,0.0,0.0
GCNetwork Train,0.9987468671679198,0.9974968671630001,0.9987484355444306,0.9987468671679198,0.9974937343358397,0.9975,1.0
GCNetwork Test,0.9900990099009901,0.0,0.0,0.37,0.0,0.0,0.0
GAT Train,0.9761904761904762,0.9534625892455922,0.9767441860465117,0.9973838104032009,0.9523809523809523,0.9545454545454546,1.0
GAT Test,0.9504950495049505,-0.02030692330267238,0.0,0.55,-0.016096579476861272,0.0,0.0
